Year,Q,Period,Rank 1,Rank 2,Rank 3,Rank 4,Average minutes played per day,Game,Console,Image_path,Genre,,Console
1999,1,PreSchool,Super Mario 64,Worms Armageddon,Tomb Raider III,Spyro the Dragon,30,Super Mario 64,Nintendo 64,Super Mario 64,Platformer,,PC
1999,2,PreSchool,Crash Bandicoot,Spyro the Dragon,Tomb Raider III,Super Mario 64,30,Worms Armageddon,PC,Worms Armageddon,Fighting / Brawler,,PS1
1999,3,PreSchool,Super Mario Bros Deluxe,Heroes of Might and Magic III,Worms Armageddon,Super Mario 64,30,Crash Bandicoot,PS1,Crash Bandicoot,Platformer,,Nintendo 64
1999,4,PreSchool,Spyro the Dragon,Crash Bandicoot,Heroes of Might and Magic III,Tomb Raider III,40,Spyro the Dragon,PS1,Spyro the Dragon,Platformer,,PS2
2000,1,PreSchool,Heroes of Might and Magic III,Banjo-Kazooie,driver,GoldenEye 007,50,Banjo-Kazooie,Nintendo 64,Banjo-Kazooie,Platformer,,Nintendo Game Boy
2000,2,PreSchool,Banjo-Kazooie,GoldenEye 007,Spyro the Dragon,Crash Bandicoot,40,GoldenEye 007,Nintendo 64,GoldenEye 007,Shooter,,Game Boy Color
2000,3,PreSchool,GoldenEye 007,Banjo-Kazooie,Liero,Worms Armageddon,30,Liero,PC,Liero,Strategy,,Game Boy Advance
2000,4,PreSchool,Liero,GoldenEye 007,Banjo-Kazooie,Crash Bandicoot 2,30,Crash Bandicoot 2,PS1,Crash Bandicoot 2,Platformer,,PS2
2001,1,PreSchool,Star Wars Episode I,Crash Bandicoot 2,hydro thunder,Spyro 2,30,Crash Bandicoot 3,PS1,Crash Bandicoot 3,Platformer,,Wii
2001,2,PreSchool,Crash Bandicoot 3,Spyro 2,Spyro Year of the Dragon,Star Wars Episode I,30,Spyro 2,PS1,Spyro 2,Platformer,,Xbox 360
2001,3,Primary School,crazy taxi ,Rayman,Star Wars Episode I,Heroes of Might and Magic III,40,Spyro Year of the Dragon,PS1,Spyro Year of the Dragon,Platformer,,Switch
2001,4,Primary School,Spyro Year of the Dragon,Pokémon Yellow,Age of Empires II The Age of Kings,Worms World Party,40,FIFA 2000,PS1,FIFA 2000,Sports / Racing,,Game Cube
2002,1,Primary School,Pokémon Yellow,Star Wars Episode I Pod Racer,FIFA 2000,crazy taxi ,60,FIFA 2001,PS2,FIFA 2001,Sports / Racing,,PS4
2002,2,Primary School,Pokémon Stadium,TimeSplitters 2,Star Wars Episode I Pod Racer,FIFA 2002,70,Pokémon Yellow,Nintendo Game Boy,Pokémon Yellow,RPG,,Xbox
2002,3,Primary School,Pokémon Silver,Star Wars Episode I Pod Racer,TimeSplitters 2,Pokémon Stadium,80,Pokémon Silver,Game Boy Color,Pokémon Silver,RPG,,
2002,4,Primary School,Star Wars Bounty Hunter,Pokémon Stadium 2,sly racoon,FIFA 2003,80,Worms World Party,PC,Worms World Party,Fighting / Brawler,,
2003,1,Primary School,Pokémon Stadium 2,Tony Hawk’s Pro Skater 3,Liero,RollerCoaster Tycoon 2,80,Star Wars Episode I Pod Racer,Nintendo 64,Star Wars Episode I Pod Racer,Sports / Racing,,
2003,2,Primary School,Pokémon Sapphire,war of the monsters,Grand Theft Auto III (GTA III),RollerCoaster Tycoon 2,70,Star Wars Episode I,PS1,Star Wars Episode I,Platformer,,
2003,3,Primary School,Jak and Daxter,war of the monsters,Pokémon Sapphire,FIFA 2003,60,Pokémon Stadium,Nintendo 64,Pokémon Stadium,RPG,,
2003,4,Primary School,Prince of Persia The Sands of Time,Freedom Fighters,Grand Theft Auto Vice City,Liero,50,Pokémon Stadium 2,Nintendo 64,Pokémon Stadium 2,RPG,,
2004,1,Primary School,Ratchet & Clank,Simpsons Hit & Run,Jak and Daxter,Pokémon Sapphire,30,Grand Theft Auto III (GTA III),PS2,Grand Theft Auto III (GTA III),Platformer,,
2004,2,Primary School,Grand Theft Auto San Andreas,Ratchet & Clank 2,Jack II,FIFA 2004,30,Tony Hawk’s Pro Skater 3,PS1,Tony Hawk’s Pro Skater 3,Sports / Racing,,
2004,3,Primary School,Star Wars The Clone Wars,Jack II,Grand Theft Auto San Andreas,splinter cell,40,Pokémon Sapphire,Game Boy Advance,Pokémon Sapphire,RPG,,
2004,4,Primary School,Jak 3,Ratchet & Clank 3,Star Wars The Clone Wars,Grand Theft Auto San Andreas,40,Heroes of Might and Magic III,PC,Heroes of Might and Magic III,Strategy,,
2005,1,Primary School,Halo 2,Jak 3,Burnout 3,Fifa Street,50,Prince of Persia The Sands of Time,PS2,Prince of Persia The Sands of Time,Platformer,,
2005,2,Primary School,Spider-Man 2,Halo 2,Age of Empires II The Age of Kings,Grand Theft Auto San Andreas,40,Age of Empires II The Age of Kings,PC,Age of Empires II The Age of Kings,Strategy,,
2005,3,Primary School,RuneScape 2,Age of Empires II The Age of Kings,Halo 2,Heroes of Might and Magic III,60,FIFA 2004,PS2,FIFA 2004,Sports / Racing,,
2005,4,Primary School,RuneScape 2,Star Wars Battlefront,Age of Empires II The Age of Kings,Halo 2,100,Grand Theft Auto Vice City,PS2,Grand Theft Auto Vice City,Platformer,,
2006,1,Primary School,RuneScape 2,Half-Life 2,Heroes of Might and Magic III,Halo 2,110,Grand Theft Auto San Andreas,PS2,Grand Theft Auto San Andreas,Platformer,,
2006,2,Primary School,Star Wars Empire at War,RuneScape 2,Star Wars Battlefront II,Guitar Hero,100,Jack II,PS2,Jack II,Platformer,,
2006,3,Primary School,Gears of War,RuneScape 2,Guitar Hero,Half-Life 2,80,Star Wars Empire at War,PC,Star Wars Empire at War,Strategy,,
2006,4,Primary School,RuneScape 2,Guitar Hero,Star Wars Battlefront II,Star Wars Empire at War,70,Ratchet & Clank 2,PS2,Ratchet & Clank 2,Platformer,,
2007,1,Primary School,Call of Duty 3,Guitar Hero II,Star Wars Empire at War,Age of Empires II The Age of Kings,60,Ratchet & Clank 3,PS2,Ratchet & Clank 3,Platformer,,
2007,2,Primary School,RuneScape 2,Star Wars Empire at War,Guitar Hero II,Guitar Hero,60,Jak 3,PS2,Jak 3,Platformer,,
2007,3,Primary School,Halo 3,RuneScape 2,lost planet,Star Wars Empire at War,60,RuneScape 2,PC,RuneScape 2,MMORPG,,
2007,4,Primary School,Assassin’s Creed,Mass Effect,Mario & Sonic at the Olympic Games,Halo 3,60,Guitar Hero,PS2,Guitar Hero,Puzzle / Party / Rhythm,,
2008,1,Primary School,Call of Duty 4 Modern Warfare,Skate,WWE SmackDown vs Raw 2007,Wii Sports!,50,Mario & Sonic at the Olympic Games,Wii,Mario & Sonic at the Olympic Games,Sports / Racing,,
2008,2,Primary School,Halo 3,Call of Duty 4 Modern Warfare,Fable II,Mario & Sonic at the Olympic Games,50,Wii Sports!,Wii,Wii Sports!,Sports / Racing,,
2008,3,Secondary School,RuneScape 2,Halo 3,Call of Duty 4 Modern Warfare,WWE SmackDown vs Raw 2007,60,Mario Kart Wii,Wii,Mario Kart Wii,Sports / Racing,,
2008,4,Secondary School,Call of Duty World at War,Gears of War 2,Mario Kart Wii,Age of Empires II The Age of Kings,90,WWE SmackDown vs Raw 2007,PS2,WWE SmackDown vs Raw 2007,Fighting / Brawler,,
2009,1,Secondary School,Assassin’s Creed II,RuneScape 2,Halo 3,Age of Empires II The Age of Kings,100,Halo 3,Xbox 360,Halo 3,Shooter,,
2009,2,Secondary School,Call of Duty World at War,Skate 2,Age of Empires II The Age of Kings,RuneScape 2,110,Call of Duty 3,Xbox 360,Call of Duty 3,Shooter,,
2009,3,Secondary School,Call of Duty World at War,Grand Theft Auto IV,Skate 2,RuneScape 2,110,Call of Duty 4 Modern Warfare,Xbox 360,Call of Duty 4 Modern Warfare,Shooter,,
2009,4,Secondary School,Call of Duty Modern Warfare 2,Fallout 3,Age of Empires II The Age of Kings,RuneScape 2,120,Call of Duty World at War,Xbox 360,Call of Duty World at War,Shooter,,
2010,1,Secondary School,Call of Duty Modern Warfare 2,Call of Duty World at War,Grand Theft Auto IV,Skate 2,100,Call of Duty Black Ops,Xbox 360,Call of Duty Black Ops,Shooter,,
2010,2,Secondary School,Call of Duty Modern Warfare 2,Call of Duty World at War,Grand Theft Auto IV,Age of Empires II The Age of Kings,100,Call of Duty Modern Warfare 3,Xbox 360,Call of Duty Modern Warfare 3,Shooter,,
2010,3,Secondary School,Halo Reach,Call of Duty Modern Warfare 2,Call of Duty Black Ops II PS4,Worms World Party,50,Call of Duty Black Ops II,Xbox 360,Call of Duty Black Ops II,Shooter,,
2010,4,Secondary School,Call of Duty Black Ops,Fallout New Vegas,Worms World Party,Age of Empires III,80,Assassin’s Creed II,Xbox 360,Assassin’s Creed II,Stealth ,,
